sounds,files,words,correct_answer,training,practices.thisRepN,practices.thisTrialN,practices.thisN,practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome_animation.started,welcome_animation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,instructions.started,instructions.stopped,ISI.started,ISI.stopped,text.started,text.stopped,text_2.started,text_2.stopped,start.started,start.stopped,breaks.started,breaks.stopped,end.started,end.stopped,participant,date,expName,psychopyVersion,frameRate,
stimuli/SC_S1_e2-w_192ms.wav,SC_S1_e2-w_192ms.wav,1-婀          2-鹅          3-恶（恶心）          4-饿,2,None,,,,,0,32,32,85,,,,,,,3,0,3.0622365709999713,327.62467383599994,None,327.11930287999996,None,0.0003694830000995353,0.5003694830000995,329.11996602199997,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_ma3-w_192ms.wav,DW_S1_ma3-w_192ms.wav,1-妈          2-麻          3-马           4-骂,3,None,,,,,0,33,33,32,,,,,,,3,1,2.36604692100002,331.208881217,None,330.70392296499995,None,0.000653693400067823,0.5006536934000678,332.702672582,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S2_yu3-w_192ms.wav,DW_S2_yu3-w_192ms.wav,1-迂          2-鱼          3-雨          4-玉,3,None,,,,,0,34,34,106,,,,,,,3,1,3.4107294679999995,334.09218494000004,None,333.58720612699994,None,0.0007228133998751218,0.5007228133998751,335.58845727899995,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S1_e3-w_305ms.wav,SC_S1_e3-w_305ms.wav,1-婀          2-鹅          3-恶（恶心）          4-饿,3,None,,,,,0,35,35,148,,,,,,,4,0,3.0772176110000373,338.02568879499995,None,337.521634113,None,0.00019366940000509203,0.5001936694000051,339.521744268,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S1_ma4-w_192ms.wav,SC_S1_ma4-w_192ms.wav,1-妈          2-麻          3-马           4-骂,4,None,,,,,0,36,36,89,,,,,,,3,0,2.7271141659999785,341.62385666,None,341.11826918199995,None,0.0018187410000791715,0.5018187410000792,343.11613814099996,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_yi2-w_192ms.wav,DW_S1_yi2-w_192ms.wav,1-衣          2-姨          3-椅          4-意,2,None,,,,,0,37,37,142,,,,,,,3,0,1.9921778369999856,344.87074383799995,None,344.365723861,None,0.0013808039999503308,0.5013808039999503,346.36571585499996,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S2_wu4-w_305ms.wav,DW_S2_wu4-w_305ms.wav,1-乌          2-无          3-五          4-物,4,None,,,,,0,38,38,79,,,,,,,3,0,3.0865343149999944,347.384379102,None,346.880133205,None,0.000589363399967624,0.5005893633999676,348.88187391299994,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S2_yi1-p_192ms.wav,SC_S2_yi1-p_192ms.wav,1-衣          2-姨          3-椅          4-意,1,None,,,,,0,39,39,103,,,,,,,1,1,2.1078885460000265,350.99502529099993,None,350.490018579,None,0.001419967999936489,0.5014199679999365,352.489650764,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S2_wu3-p_305ms.wav,DW_S2_wu3-p_305ms.wav,1-乌          2-无          3-五          4-物,3,None,,,,,0,40,40,108,,,,,,,3,1,2.6830249319999666,353.62788706699996,None,353.123323989,None,0.0007247229999620686,0.5007247229999621,355.122913055,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S1_yu2-w_192ms.wav,SC_S1_yu2-w_192ms.wav,1-迂          2-鱼          3-雨          4-玉,2,None,,,,,0,41,41,5,,,,,,,3,0,2.5346777199999906,356.832257959,None,356.327912663,None,0.0004681284000298547,0.5004681284000299,358.326617802,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
